conversation_id,subject,object,relation,sentence,gold_emotions,polarity
conv_77,Speaker 2,Joey,per:positive_impression,"[SPEAKER] Speaker 2: I don't know, you know, just the way she waltzed in here all smart, and tall! You know, and just swept [E2]Joey[/E2] off his feet... I mean, nobody else has a chance!",fear,negative
conv_252,Chandler,Speaker 2,per:parents,"[SPEAKER] Speaker 1: Alright, so that leaves [E1]Chandler[/E1].",neutral,neutral
conv_5,Speaker 2,Frank,per:siblings,"[SPEAKER] Speaker 2: Yeah, I did. I think it sounds y'know big sistery, y'know, '[E2]Frank[/E2]'s always late.'",diappointment,negative
conv_68,Janice,Speaker 1,per:girl/boyfriend,"[SPEAKER] Speaker 1: [E1]Janice[/E1]'s birthday is coming up, I want to get her something special. Come in here with me.",caring,positive
conv_149,Speaker 1,Frank Jr. Jr.,per:children,[SPEAKER] Speaker 1: [E2]Frank Jr. Jr.[/E2]!!,neutral,neutral
conv_224,David,Speaker 3,per:girl/boyfriend,"[SPEAKER] Speaker 3: [E1]David[/E1]'s like, y'know, Scientist Guy. He's very methodical.",admiration,positive
conv_58,Monica,Speaker 1,per:siblings,[SPEAKER] Speaker 1: You did! Oh.... I always figured you just thought I was [E1]Monica[/E1]'s geeky older brother.,neutral,neutral
conv_251,Barry,Speaker 1,per:girl/boyfriend,"[SPEAKER] Speaker 1: Hey, you guys! Guess what? [E1]Barry[/E1] and Mindy are getting a divorce!",joy,positive
conv_833,Speaker 2,Monica,per:spouse,"[SPEAKER] Speaker 2: Oh uh, as it turns out, we can’t do it. [E2]Monica[/E2] has to work.",anger,negative
conv_52,Aunt Sheryl,Speaker 4,per:other_family,"[SPEAKER] Speaker 4: Well l-look okay, it’s probably just a mistake. Let me call [E1]Aunt Sheryl[/E1] okay? Maybe you are invited and the invitation just got lost in the mail.",optimism,positive
conv_147,Speaker 2,Gary,per:spouse,"[SPEAKER] Speaker 1: I think you should go back with [E2]Gary[/E2]. I don't wanna be the guy that breaks up a family, y'know when my parents split up, it was because of that guy. Whenever I would see him I was always think y'know 'You're the reason, you are the reason why their not together.' and I hated that guy. And it didn't matter how nice he was, or how happy he made my Dad.",sadness,negative
conv_492,Emma,Speaker 1,per:parents,[SPEAKER] Speaker 1: Can any of you watch [E1]Emma[/E1]?,neutral,neutral
conv_486,Speaker 1,Monica,per:girl/boyfriend,[SPEAKER] Speaker 1: Guys? I’ve got something important to tell ya. Guys? Guys?! I’m gonna ask [E2]Monica[/E2] to marry me.,love,positive
conv_83,Speaker 1,Rachel,per:friends,"[SPEAKER] Speaker 1: See my friend-my friend, [E2]Rachel[/E2], she wants to be set up.",optimism,positive
conv_198,Richard,Speaker 1,per:girl/boyfriend,[SPEAKER] Speaker 1: I need to get some [E1]Richard[/E1].,neutral,neutral
conv_388,Speaker 1,Carol,per:girl/boyfriend,"[SPEAKER] Speaker 1: Oh mom! Okay, umm, her name is [E2]Carol[/E2]. And she's really pretty. And smart. And uh, she's-she's on the lacrosse team and the golf team. Can you believe it? She plays for both teams!",admiration,positive
conv_61,Speaker 1,Missy Goldberg,per:positive_impression,"[SPEAKER] Speaker 1: Hey, there's [E2]Missy Goldberg[/E2]. You gotta remember her.",optimism,positive
conv_336,Speaker 1,Chandler,per:positive_impression,"[SPEAKER] Speaker 2: Yeah, well, I guess I have forgotten about Joey and clearly you've forgotten about [E2]Chandler[/E2]!",pride,positive
conv_629,Alice,Speaker 3,per:girl/boyfriend,"[SPEAKER] Speaker 3: Okay, so what you used to have with Rachel, is what I've got with [E1]Alice[/E1].",neutral,neutral
conv_350,Speaker 2,Barry,per:girl/boyfriend,"[SPEAKER] Speaker 1: Anyway.. um.. So, you- uh- you nervous about [E2]Barry[/E2] tomorrow?",neutral,neutral
conv_881,Emillio,Marie,per:children,"[SPEAKER] Speaker 1: I’m so excited about having Monica come on board with us. Although I do feel bad about having fired chef [E1]Emillio[/E1], it’s like losing a member of the family. Of course, that literally is the case for several of you. Tony, Carlos, [E2]Marie[/E2], please, tell your father how much we’re gonna miss him. Now, I know that Monica has a lot of great ideas for this place, well, you all read the review. So without much further ado, I present to you our new head chef.",joy,positive
conv_594,Speaker 1,Mrs. Tribbiani,per:parents,"[SPEAKER] Speaker 2: Hello? Yeah, hi! [E2]Mrs. Tribbiani[/E2]? Hi, this is Monica Geller. Yeah I’m just calling to say that Chandler and I uh, really hope you can make it to the wedding. Yeah, apparently a bunch of invitations that we sent weren’t delivered. Umm, I guess there was some screw up at the damn post office! T-Tell me about it! Yeah, yeah, the US Post Office? No, more like US lost office! What are they Irish?!",disappointment,negative
conv_99,Speaker 2,Gandolf,per:positive_impression,"[SPEAKER] Speaker 2: Joey, you are gonna love this guy. [E2]Gandolf[/E2] is like the party wizard!",approval,positive
conv_552,Speaker 3,Ben,per:children,[SPEAKER] Speaker 5: Hi [E2]Ben[/E2]!,neutral,neutral
conv_650,Speaker 2,Mike,per:positive_impression,"[SPEAKER] Speaker 2: No, I know, this way when I go to the party later [E2]Mike[/E2] will know I am over him cause I'm gonna smell like another guy. Yeah.",annoyance,negative
conv_224,Janice,Speaker 5,per:girl/boyfriend,"[SPEAKER] Speaker 5: Yeah, 'cause I already asked [E1]Janice[/E1].",neutral,neutral
conv_252,Frank Jr.Jr.,Alice,per:parents,"[SPEAKER] Speaker 1: [E2]Alice[/E2] would never go for it, right?",optimism,positive
conv_130,Speaker 2,Monica,per:friends,"[SPEAKER] Speaker 1: All right. Okay. You and [E2]Monica[/E2], friends for a long time, and sure there are rules, but then you went to London. Oh, no, but that’s different. I mean, there are rules there, too! You know what I mean?",disappointment,negative
