conv_id,sentence,gold_label,subject_id,object_id,relation,subject_name,object_name,context_length,subject,object,pred_label,pos_score_raw,neg_score_raw,strength,confidence,margin,max_score,is_likely_neutral,pos_words,neg_words
156,"(-1 Turn: Speaker 2: Uh, y’know, starve a fever, go to a play for a cold.) (Target Turn: Speaker 4: Joey! Why is Janine not coming over for dinner?!) (+1 Turn: Speaker 2: Well uh, she didn’t want to hang out with you guys two nights in a row. I’m so sorry.)",negative,156_Spkr_4,156_Spkr_2,per:friends,Speaker 4,Speaker 2,257,Speaker 4,Speaker 2,negative,0.36,-0.41,0.4593591046906834,0.06493506493506492,0.04999999999999999,0.41,False,0.36,0.46
75,"(-1 Turn: Speaker 2: No.) (Target Turn: Speaker 1: Oh good. Good, look I'm so sorry, for screwing up that cutting-her-out plan. But I have a new plan. Chandler agreed to call here in a few minutes with an emergency.) (+1 Turn: Speaker 2: Oh! Well, what kind of emergency that gets us both out of here?)",neutral,Chandler,75_Spkr_1,per:friends,Chandler,Speaker 1,302,Chandler,Speaker 1,positive,0.48,-0.35,0.5132477440400283,0.1566265060240964,0.13,0.48,False,0.51,0.48
224,"(-1 Turn: Speaker 1: You've got to get back out there, it's your party.) (Target Turn: Speaker 2: But they're so dull, they're all opthamologists.) (+1 Turn: Speaker 1: You're an opthamologist.)",negative,224_Spkr_2,224_Spkr_1,per:friends,Speaker 2,Speaker 1,194,Speaker 2,Speaker 1,negative,0.0,-0.44,0.4831486655083008,1.0,0.44,0.44,False,0.0,0.5
241,(-1 Turn: N/A) (Target Turn: Speaker 1: Hey.) (+1 Turn: Speaker 2: Hey. Hold on a second. Huh?),neutral,241_Spkr_1,241_Spkr_2,per:friends,Speaker 1,Speaker 2,95,Speaker 1,Speaker 2,positive,0.31,-0.0,0.3718648948103592,1.0,0.31,0.31,False,0.31,0.0
19,"(-1 Turn: Speaker 1: Presenting the award for Favorite Supporting Actress is Joey Tribbiani from Days of Our Lives.) (Target Turn: Speaker 2: Any one of the brilliant actresses nominated for this award tonight deserves to take it home. Unfortunately only one can. The nominees for Best Supporting Actress are from Passions Erin Goff. From One Life to Live Mary Loren Bishop, from All My Children Sarah Mchann, and from Days of Our Lives Jessica Ashley. And the winner is……Jessica Ashley from Days of Our Lives. Uh, unfortunately Jessica couldn’t be with us tonight so I’ll be accepting this award on her behalf. And I’m sure that Jessica would like to thank my parents who always believed in me. She’d also like to thank my friends, Chandler, Monica, Ross, Phoebe, and Rachel who’s sittin’ right there!) (+1 Turn: N/A)",positive,Rachel,19_Spkr_2,per:friends,Rachel,Speaker 2,818,Rachel,Speaker 2,positive,0.52,-0.17,0.5415939886947765,0.5072463768115941,0.35,0.52,False,0.52,0.17
117,"(-1 Turn: Speaker 1: Yeah! Sure, sure. So, what was going on with you today? Oh-oh-oh!) (Target Turn: Speaker 2: Well, I actually had the weirdest conversation with Joey. He was talking about rules and right and wrong and…) (+1 Turn: Speaker 1: I had the exact same conversation.)",neutral,Joey,117_Spkr_2,per:friends,Joey,Speaker 2,280,Joey,Speaker 2,positive,0.42,-0.2,0.4674081989931028,0.3548387096774193,0.21999999999999997,0.42,False,0.42,0.2
156,"(-1 Turn: Speaker 2: Uh, y’know, starve a fever, go to a play for a cold.) (Target Turn: Speaker 4: Joey! Why is Janine not coming over for dinner?!) (+1 Turn: Speaker 2: Well uh, she didn’t want to hang out with you guys two nights in a row. I’m so sorry.)",negative,156_Spkr_4,156_Spkr_1,per:friends,Speaker 4,Speaker 1,257,Speaker 4,Speaker 1,negative,0.36,-0.41,0.4593591046906834,0.06493506493506492,0.04999999999999999,0.41,False,0.36,0.46
240,"(-1 Turn: Speaker 2: Oh, yeah! Yeah!) (Target Turn: Speaker 1: You tell your friend Chandler that we’re definitely broken up this time.) (+1 Turn: Speaker 2: Okay.)",negative,Chandler,240_Spkr_2,per:friends,Chandler,Speaker 2,164,Chandler,Speaker 2,negative,0.27,-0.27,0.3330231891415256,0.0,0.0,0.27,True,0.38,0.27
25,"(-1 Turn: Speaker 2: Well, yeah! But I'm not gonna take anymore crap. Okay? No more Mrs. Nice Bucket!) (Target Turn: Speaker 3: Yeah, good for you. Y'know you're tough, you lived on the streets.) (+1 Turn: Speaker 2: Yeah, I'm gonna go back to being Street Phoebe. Yeah! Oh but, y'know what? I can't go totally back because Street Phoebe really wouldn't be friends with you guys. Sorry.)",negative,25_Spkr_3,25_Spkr_2,per:friends,Speaker 3,Speaker 2,387,Speaker 3,Speaker 2,positive,0.46,-0.25,0.49842393093394455,0.295774647887324,0.21000000000000002,0.46,False,0.46,0.36
156,(-1 Turn: Speaker 1: Monica! Chandler! I’m really-really sorry about tonight. I don’t know if Joey told you; I just couldn’t get out of going to this play. I’m sorry. Have a great time.) (Target Turn: Speaker 2: ‘Kay!) (+1 Turn: Speaker 1: Bye.),neutral,156_Spkr_2,156_Spkr_3,per:friends,Speaker 2,Speaker 3,245,Speaker 2,Speaker 3,negative,0.31,-0.31,0.3718648948103592,0.0,0.0,0.31,False,0.38,0.44
