subject,object,relation,conversation_id,sentence,psotive,negetive
Speaker 2,Joey,per:positive_impression,conv_77,"[SPEAKER] Speaker 2: I don't know, you know, just the way she waltzed in here all smart, and tall! You know, and just swept [E2]Joey[/E2] off his feet... I mean, nobody else has a chance!",0,1
Chandler,Speaker 2,per:parents,conv_252,"[SPEAKER] Speaker 1: Alright, so that leaves [E1]Chandler[/E1].",0,0
Speaker 2,Frank,per:siblings,conv_5,"[SPEAKER] Speaker 2: Yeah, I did. I think it sounds y'know big sistery, y'know, '[E2]Frank[/E2]'s always late.'",0,1
Janice,Speaker 1,per:girl/boyfriend,conv_68,"[SPEAKER] Speaker 1: [E1]Janice[/E1]'s birthday is coming up, I want to get her something special. Come in here with me.",1,0
Speaker 1,Frank Jr. Jr.,per:children,conv_149,[SPEAKER] Speaker 1: [E2]Frank Jr. Jr.[/E2]!!,0,0
David,Speaker 3,per:girl/boyfriend,conv_224,"[SPEAKER] Speaker 3: [E1]David[/E1]'s like, y'know, Scientist Guy. He's very methodical.",1,1
Monica,Speaker 1,per:siblings,conv_58,[SPEAKER] Speaker 1: You did! Oh.... I always figured you just thought I was [E1]Monica[/E1]'s geeky older brother.,0,0
Barry,Speaker 1,per:girl/boyfriend,conv_251,"[SPEAKER] Speaker 1: Hey, you guys! Guess what? [E1]Barry[/E1] and Mindy are getting a divorce!",0,1
Speaker 2,Monica,per:spouse,conv_833,"[SPEAKER] Speaker 2: Oh uh, as it turns out, we can’t do it. [E2]Monica[/E2] has to work.",0,1
Aunt Sheryl,Speaker 4,per:other_family,conv_52,"[SPEAKER] Speaker 4: Well l-look okay, it’s probably just a mistake. Let me call [E1]Aunt Sheryl[/E1] okay? Maybe you are invited and the invitation just got lost in the mail.",1,0
Speaker 2,Gary,per:spouse,conv_147,"[SPEAKER] Speaker 1: I think you should go back with [E2]Gary[/E2]. I don't wanna be the guy that breaks up a family, y'know when my parents split up, it was because of that guy. Whenever I would see him I was always think y'know 'You're the reason, you are the reason why their not together.' and I hated that guy. And it didn't matter how nice he was, or how happy he made my Dad.",0,1
Emma,Speaker 1,per:parents,conv_492,[SPEAKER] Speaker 1: Can any of you watch [E1]Emma[/E1]?,0,0
Speaker 1,Monica,per:girl/boyfriend,conv_486,[SPEAKER] Speaker 1: Guys? I’ve got something important to tell ya. Guys? Guys?! I’m gonna ask [E2]Monica[/E2] to marry me.,1,0
Speaker 1,Rachel,per:friends,conv_83,"[SPEAKER] Speaker 1: See my friend-my friend, [E2]Rachel[/E2], she wants to be set up.",1,0
Richard,Speaker 1,per:girl/boyfriend,conv_198,[SPEAKER] Speaker 1: I need to get some [E1]Richard[/E1].,0,0
